Z(bin_number),GT(m2/s2))
1.000000 ,     0.000105 
2.000000 ,     0.000093 
3.000000 ,     0.000064 
4.000000 ,     0.000036 
5.000000 ,     0.000044 
6.000000 ,     0.000091 
7.000000 ,     0.000039 
8.000000 ,     0.000043 
9.000000 ,     0.000077 
10.000000 ,     0.000026 
11.000000 ,     0.000069 
12.000000 ,     0.000085 
13.000000 ,     0.000070 
14.000000 ,     0.000029 
15.000000 ,     0.000044 
16.000000 ,     0.000051 
17.000000 ,     0.000029 
18.000000 ,     0.000062 
19.000000 ,     0.000039 
20.000000 ,     0.000038 
21.000000 ,     0.000070 
22.000000 ,     0.000084 
23.000000 ,     0.000064 
24.000000 ,     0.000031 
25.000000 ,     0.000084 
26.000000 ,     0.000030 
27.000000 ,     0.000024 
28.000000 ,     0.000069 
