Z(bin_number),GT(m2/s2))
1.000000 ,     0.004590 
2.000000 ,     0.001980 
3.000000 ,     0.001468 
4.000000 ,     0.002074 
5.000000 ,     0.001173 
6.000000 ,     0.002964 
7.000000 ,     0.001703 
8.000000 ,     0.001984 
9.000000 ,     0.001587 
10.000000 ,     0.001090 
11.000000 ,     0.002097 
12.000000 ,     0.001708 
13.000000 ,     0.001721 
14.000000 ,     0.001512 
15.000000 ,     0.001249 
16.000000 ,     0.002289 
17.000000 ,     0.001608 
18.000000 ,     0.002504 
19.000000 ,     0.001174 
20.000000 ,     0.001394 
21.000000 ,     0.001768 
22.000000 ,     0.001846 
23.000000 ,     0.002170 
24.000000 ,     0.001320 
25.000000 ,     0.001695 
26.000000 ,     0.001665 
27.000000 ,     0.001844 
28.000000 ,     0.004968 
