Z(bin_number),GT(m2/s2))
1.000000 ,     0.000074 
2.000000 ,     0.000051 
3.000000 ,     0.000037 
4.000000 ,     0.000027 
5.000000 ,     0.000044 
6.000000 ,     0.000075 
7.000000 ,     0.000034 
8.000000 ,     0.000035 
9.000000 ,     0.000067 
10.000000 ,     0.000019 
11.000000 ,     0.000036 
12.000000 ,     0.000034 
13.000000 ,     0.000035 
14.000000 ,     0.000028 
15.000000 ,     0.000049 
16.000000 ,     0.000043 
17.000000 ,     0.000025 
18.000000 ,     0.000048 
19.000000 ,     0.000050 
20.000000 ,     0.000027 
21.000000 ,     0.000040 
22.000000 ,     0.000032 
23.000000 ,     0.000043 
24.000000 ,     0.000030 
25.000000 ,     0.000095 
26.000000 ,     0.000033 
27.000000 ,     0.000022 
28.000000 ,     0.000059 
