Z(bin_number),GT(m2/s2))
1.000000 ,     0.003018 
2.000000 ,     0.001191 
3.000000 ,     0.001328 
4.000000 ,     0.001896 
5.000000 ,     0.001015 
6.000000 ,     0.002266 
7.000000 ,     0.001115 
8.000000 ,     0.001434 
9.000000 ,     0.001708 
10.000000 ,     0.000997 
11.000000 ,     0.001836 
12.000000 ,     0.000941 
13.000000 ,     0.001370 
14.000000 ,     0.001443 
15.000000 ,     0.001239 
16.000000 ,     0.001504 
17.000000 ,     0.000928 
18.000000 ,     0.001661 
19.000000 ,     0.001147 
20.000000 ,     0.001523 
21.000000 ,     0.001629 
22.000000 ,     0.001122 
23.000000 ,     0.001976 
24.000000 ,     0.001101 
25.000000 ,     0.001630 
26.000000 ,     0.001426 
27.000000 ,     0.001266 
28.000000 ,     0.003123 
