Z(bin_number),GT(m2/s2))
1.000000 ,     0.000096 
2.000000 ,     0.000092 
3.000000 ,     0.000090 
4.000000 ,     0.000051 
5.000000 ,     0.000039 
6.000000 ,     0.000085 
7.000000 ,     0.000036 
8.000000 ,     0.000062 
9.000000 ,     0.000078 
10.000000 ,     0.000022 
11.000000 ,     0.000065 
12.000000 ,     0.000104 
13.000000 ,     0.000092 
14.000000 ,     0.000032 
15.000000 ,     0.000049 
16.000000 ,     0.000063 
17.000000 ,     0.000059 
18.000000 ,     0.000073 
19.000000 ,     0.000047 
20.000000 ,     0.000035 
21.000000 ,     0.000087 
22.000000 ,     0.000070 
23.000000 ,     0.000073 
24.000000 ,     0.000035 
25.000000 ,     0.000080 
26.000000 ,     0.000040 
27.000000 ,     0.000039 
28.000000 ,     0.000065 
