Z(bin_number),GT(m2/s2))
1.000000 ,     0.003283 
2.000000 ,     0.001429 
3.000000 ,     0.001726 
4.000000 ,     0.002135 
5.000000 ,     0.001110 
6.000000 ,     0.002880 
7.000000 ,     0.001654 
8.000000 ,     0.002335 
9.000000 ,     0.001668 
10.000000 ,     0.001137 
11.000000 ,     0.002598 
12.000000 ,     0.001437 
13.000000 ,     0.002241 
14.000000 ,     0.001617 
15.000000 ,     0.001394 
16.000000 ,     0.002518 
17.000000 ,     0.001480 
18.000000 ,     0.002551 
19.000000 ,     0.001210 
20.000000 ,     0.001585 
21.000000 ,     0.002496 
22.000000 ,     0.001601 
23.000000 ,     0.002733 
24.000000 ,     0.001224 
25.000000 ,     0.001667 
26.000000 ,     0.001565 
27.000000 ,     0.001411 
28.000000 ,     0.003622 
