Z(bin_number),GT(m2/s2))
1.000000 ,     0.000844 
2.000000 ,     0.000483 
3.000000 ,     0.000438 
4.000000 ,     0.000395 
5.000000 ,     0.000412 
6.000000 ,     0.001168 
7.000000 ,     0.000331 
8.000000 ,     0.000415 
9.000000 ,     0.000869 
10.000000 ,     0.000353 
11.000000 ,     0.000516 
12.000000 ,     0.000447 
13.000000 ,     0.000458 
14.000000 ,     0.000338 
15.000000 ,     0.000558 
16.000000 ,     0.000502 
17.000000 ,     0.000264 
18.000000 ,     0.000653 
19.000000 ,     0.000452 
20.000000 ,     0.000413 
21.000000 ,     0.000519 
22.000000 ,     0.000411 
23.000000 ,     0.000494 
24.000000 ,     0.000408 
25.000000 ,     0.000946 
26.000000 ,     0.000309 
27.000000 ,     0.000269 
28.000000 ,     0.000928 
