Z(bin_number),GT(m2/s2))
1.000000 ,     0.001426 
2.000000 ,     0.000906 
3.000000 ,     0.000872 
4.000000 ,     0.000657 
5.000000 ,     0.000434 
6.000000 ,     0.001585 
7.000000 ,     0.001628 
8.000000 ,     0.000818 
9.000000 ,     0.000711 
10.000000 ,     0.000414 
11.000000 ,     0.000942 
12.000000 ,     0.000872 
13.000000 ,     0.000965 
14.000000 ,     0.000513 
15.000000 ,     0.000468 
16.000000 ,     0.001108 
17.000000 ,     0.001954 
18.000000 ,     0.001137 
19.000000 ,     0.000396 
20.000000 ,     0.000597 
21.000000 ,     0.001017 
22.000000 ,     0.000882 
23.000000 ,     0.000906 
24.000000 ,     0.000497 
25.000000 ,     0.000841 
26.000000 ,     0.000558 
27.000000 ,     0.000666 
28.000000 ,     0.001444 
