Time(s),RSD(%)
4.000000 ,    94.287247 
5.000000 ,    67.796453 
6.000000 ,    45.341374 
7.000000 ,    33.646138 
8.000000 ,    27.040792 
9.000000 ,    23.377765 
10.000000 ,    21.546456 
11.000000 ,    20.073335 
12.000000 ,    19.920708 
13.000000 ,    19.659830 
14.000000 ,    19.067612 
15.000000 ,    19.650257 
16.000000 ,    20.041548 
17.000000 ,    18.585844 
18.000000 ,    19.226966 
19.000000 ,    19.604653 
20.000000 ,    19.252399 
21.000000 ,    18.996257 
22.000000 ,    19.859182 
23.000000 ,    19.428674 
24.000000 ,    18.711290 
