Time(s),RSD(%)
4.000000 ,    95.845516 
5.000000 ,    95.806381 
6.000000 ,    95.655462 
7.000000 ,    95.561482 
8.000000 ,    95.485172 
9.000000 ,    95.546645 
10.000000 ,    95.252606 
11.000000 ,    95.208376 
12.000000 ,    95.039903 
13.000000 ,    95.025230 
14.000000 ,    95.032102 
15.000000 ,    94.915806 
16.000000 ,    94.804502 
17.000000 ,    94.810723 
18.000000 ,    94.560381 
19.000000 ,    94.437348 
20.000000 ,    94.351010 
21.000000 ,    94.451541 
22.000000 ,    94.442611 
23.000000 ,    94.208139 
24.000000 ,    93.976583 
