Time(s),RSD(%)
4.000000 ,    94.146418 
5.000000 ,    90.200891 
6.000000 ,    85.468172 
7.000000 ,    80.468272 
8.000000 ,    75.660245 
9.000000 ,    71.484086 
10.000000 ,    67.707917 
11.000000 ,    63.906226 
12.000000 ,    60.546648 
13.000000 ,    57.257370 
14.000000 ,    53.972257 
15.000000 ,    50.905529 
16.000000 ,    48.280836 
17.000000 ,    45.706673 
18.000000 ,    42.823577 
19.000000 ,    40.848834 
20.000000 ,    39.008250 
21.000000 ,    36.840026 
22.000000 ,    35.571324 
23.000000 ,    33.074627 
24.000000 ,    31.489152 
