Time(s),RSD(%)
4.000000 ,    94.220434 
5.000000 ,    72.925730 
6.000000 ,    44.507764 
7.000000 ,    31.586162 
8.000000 ,    22.972707 
9.000000 ,    19.104751 
10.000000 ,    17.711488 
11.000000 ,    17.247076 
12.000000 ,    16.500522 
13.000000 ,    16.407041 
14.000000 ,    16.760879 
15.000000 ,    16.955144 
16.000000 ,    16.300837 
17.000000 ,    16.482781 
18.000000 ,    16.520763 
19.000000 ,    16.354435 
20.000000 ,    16.743989 
21.000000 ,    16.581559 
22.000000 ,    17.072238 
23.000000 ,    16.781479 
24.000000 ,    16.869111 
