Time(s),RSD(%)
4.000000 ,    99.179159 
5.000000 ,    88.361686 
6.000000 ,    76.142491 
7.000000 ,    66.979878 
8.000000 ,    58.811186 
9.000000 ,    52.215658 
10.000000 ,    46.782755 
11.000000 ,    41.875451 
12.000000 ,    37.052017 
13.000000 ,    33.609929 
14.000000 ,    30.507199 
15.000000 ,    27.938438 
16.000000 ,    25.690884 
17.000000 ,    24.408886 
18.000000 ,    23.049176 
19.000000 ,    21.341802 
20.000000 ,    20.705264 
21.000000 ,    19.843745 
22.000000 ,    19.196344 
23.000000 ,    18.322566 
24.000000 ,    18.032109 
