Time(s),RSD(%)
4.000000 ,    93.939665 
5.000000 ,    89.835944 
6.000000 ,    87.307516 
7.000000 ,    81.442748 
8.000000 ,    76.831626 
9.000000 ,    72.320024 
10.000000 ,    68.982391 
11.000000 ,    61.911974 
12.000000 ,    57.465284 
13.000000 ,    52.062865 
14.000000 ,    47.575132 
15.000000 ,    43.691383 
16.000000 ,    40.524670 
17.000000 ,    37.071877 
18.000000 ,    35.155187 
19.000000 ,    32.978609 
20.000000 ,    30.734673 
21.000000 ,    28.895882 
22.000000 ,    27.207048 
23.000000 ,    25.847264 
24.000000 ,    24.935965 
