Time(s),RSD(%)
4.000000 ,    94.110470 
5.000000 ,    91.454408 
6.000000 ,    88.806653 
7.000000 ,    84.853698 
8.000000 ,    82.639084 
9.000000 ,    80.671220 
10.000000 ,    76.494633 
11.000000 ,    71.575907 
12.000000 ,    66.386464 
13.000000 ,    62.192952 
14.000000 ,    57.679060 
15.000000 ,    54.121406 
16.000000 ,    49.883074 
17.000000 ,    46.808542 
18.000000 ,    44.353024 
19.000000 ,    41.884800 
20.000000 ,    39.636022 
21.000000 ,    37.712758 
22.000000 ,    35.808822 
23.000000 ,    34.410607 
24.000000 ,    32.748768 
