Time(s),RSD(%)
4.000000 ,    95.202179 
5.000000 ,    95.060120 
6.000000 ,    95.175820 
7.000000 ,    94.946138 
8.000000 ,    94.705569 
9.000000 ,    94.363234 
10.000000 ,    94.314379 
11.000000 ,    93.934853 
12.000000 ,    93.894607 
13.000000 ,    93.731393 
14.000000 ,    93.486884 
15.000000 ,    93.427934 
16.000000 ,    93.295989 
17.000000 ,    92.930200 
18.000000 ,    92.706873 
19.000000 ,    92.588558 
20.000000 ,    92.465029 
21.000000 ,    92.225358 
22.000000 ,    92.237769 
23.000000 ,    92.110801 
24.000000 ,    91.827034 
