Time(s),RSD(%)
4.000000 ,    95.845516 
5.000000 ,    95.357286 
6.000000 ,    94.619087 
7.000000 ,    94.230385 
8.000000 ,    93.770476 
9.000000 ,    93.135286 
10.000000 ,    92.684452 
11.000000 ,    92.322000 
12.000000 ,    91.889524 
13.000000 ,    91.495541 
14.000000 ,    91.115602 
15.000000 ,    90.898066 
16.000000 ,    90.630758 
17.000000 ,    90.307410 
18.000000 ,    89.951583 
19.000000 ,    89.920266 
20.000000 ,    89.539393 
21.000000 ,    89.446024 
22.000000 ,    89.045984 
23.000000 ,    88.742531 
