Time(s),RSD(%)
4.000000 ,    99.363720 
5.000000 ,    86.754702 
6.000000 ,    74.896716 
7.000000 ,    65.838197 
8.000000 ,    57.550585 
9.000000 ,    51.356347 
10.000000 ,    46.261095 
11.000000 ,    41.391460 
12.000000 ,    37.599483 
13.000000 ,    34.259403 
14.000000 ,    31.535862 
15.000000 ,    28.990290 
16.000000 ,    27.126895 
17.000000 ,    25.306569 
18.000000 ,    23.902493 
19.000000 ,    22.857692 
20.000000 ,    21.918339 
21.000000 ,    21.285680 
22.000000 ,    20.799096 
23.000000 ,    19.889210 
24.000000 ,    19.278312 
