Time(s),RSD(%)
4.000000 ,    99.784127 
5.000000 ,    98.727971 
6.000000 ,    97.675789 
7.000000 ,    95.899816 
8.000000 ,    94.396270 
9.000000 ,    93.702810 
10.000000 ,    92.476717 
11.000000 ,    91.668113 
12.000000 ,    91.242314 
13.000000 ,    89.661269 
14.000000 ,    88.538738 
15.000000 ,    87.936760 
16.000000 ,    86.983069 
17.000000 ,    85.853859 
18.000000 ,    85.538826 
19.000000 ,    84.276547 
20.000000 ,    83.632133 
21.000000 ,    83.092833 
22.000000 ,    82.231432 
23.000000 ,    81.242964 
24.000000 ,    81.071706 
