Time(s),RSD(%)
4.000000 ,    95.262850 
5.000000 ,    95.070943 
6.000000 ,    93.987302 
7.000000 ,    93.643866 
8.000000 ,    93.011311 
9.000000 ,    92.317826 
10.000000 ,    92.098588 
11.000000 ,    91.657280 
12.000000 ,    91.174780 
13.000000 ,    90.944791 
14.000000 ,    90.629762 
15.000000 ,    90.126168 
16.000000 ,    90.105718 
17.000000 ,    89.529122 
18.000000 ,    89.350701 
19.000000 ,    88.849344 
20.000000 ,    88.537942 
21.000000 ,    88.328752 
22.000000 ,    88.307022 
23.000000 ,    87.763002 
24.000000 ,    87.696996 
