Time(s),RSD(%)
4.000000 ,    99.527879 
5.000000 ,    98.719545 
6.000000 ,    98.036708 
7.000000 ,    96.776696 
8.000000 ,    95.810511 
9.000000 ,    93.862566 
10.000000 ,    93.305618 
11.000000 ,    92.579601 
12.000000 ,    91.343991 
13.000000 ,    90.676085 
14.000000 ,    89.471253 
15.000000 ,    88.587874 
16.000000 ,    88.169656 
17.000000 ,    87.369445 
18.000000 ,    86.518735 
19.000000 ,    85.722197 
20.000000 ,    85.104741 
21.000000 ,    84.249494 
22.000000 ,    83.443979 
23.000000 ,    82.756571 
24.000000 ,    81.959043 
