Time(s),RSD(%)
4.000000 ,    95.845516 
5.000000 ,    94.555336 
6.000000 ,    93.077659 
7.000000 ,    91.944762 
8.000000 ,    90.936257 
9.000000 ,    90.331874 
10.000000 ,    89.379639 
11.000000 ,    89.068367 
12.000000 ,    88.431995 
13.000000 ,    87.554847 
14.000000 ,    87.129497 
15.000000 ,    86.920019 
16.000000 ,    86.342541 
17.000000 ,    85.488378 
18.000000 ,    85.321465 
19.000000 ,    84.703156 
20.000000 ,    84.201349 
21.000000 ,    84.058222 
22.000000 ,    83.483333 
23.000000 ,    82.784629 
24.000000 ,    82.586790 
