Time(s),RSD(%)
4.000000 ,    94.339897 
5.000000 ,    94.466642 
6.000000 ,    94.144705 
7.000000 ,    93.724310 
8.000000 ,    93.421492 
9.000000 ,    93.083990 
10.000000 ,    93.244970 
11.000000 ,    92.750718 
12.000000 ,    92.908154 
13.000000 ,    92.598670 
14.000000 ,    92.356924 
15.000000 ,    92.403371 
16.000000 ,    92.265017 
17.000000 ,    91.980536 
18.000000 ,    91.716602 
19.000000 ,    91.657044 
20.000000 ,    91.572145 
21.000000 ,    91.318866 
22.000000 ,    91.354825 
23.000000 ,    91.090124 
24.000000 ,    90.921869 
