Time(s),RSD(%)
4.000000 ,    94.220434 
5.000000 ,    81.983508 
6.000000 ,    66.458223 
7.000000 ,    48.463038 
8.000000 ,    37.592605 
9.000000 ,    30.066375 
10.000000 ,    25.372339 
11.000000 ,    21.901764 
12.000000 ,    19.762000 
13.000000 ,    18.328828 
14.000000 ,    17.569165 
15.000000 ,    16.971883 
16.000000 ,    16.999795 
17.000000 ,    16.347300 
18.000000 ,    16.337969 
19.000000 ,    16.251512 
20.000000 ,    16.077210 
21.000000 ,    15.937022 
22.000000 ,    16.008270 
23.000000 ,    16.096039 
24.000000 ,    16.021775 
