Time(s),RSD(%)
4.000000 ,    99.179159 
5.000000 ,    98.211945 
6.000000 ,    97.254584 
7.000000 ,    96.162325 
8.000000 ,    94.890633 
9.000000 ,    93.249321 
10.000000 ,    92.286770 
11.000000 ,    90.914466 
12.000000 ,    89.443741 
13.000000 ,    88.379992 
14.000000 ,    86.931326 
15.000000 ,    85.632619 
16.000000 ,    84.427314 
17.000000 ,    83.050727 
18.000000 ,    82.020198 
19.000000 ,    81.074667 
20.000000 ,    79.688218 
21.000000 ,    78.719540 
22.000000 ,    77.782230 
23.000000 ,    76.884259 
24.000000 ,    75.807491 
