Time(s),RSD(%)
4.000000 ,    93.719576 
5.000000 ,    72.375321 
6.000000 ,    46.653108 
7.000000 ,    33.741564 
8.000000 ,    26.273457 
9.000000 ,    21.523037 
10.000000 ,    19.278714 
11.000000 ,    18.410977 
12.000000 ,    18.873472 
13.000000 ,    17.522042 
14.000000 ,    17.353810 
15.000000 ,    17.974720 
16.000000 ,    18.209793 
17.000000 ,    17.469744 
18.000000 ,    18.132122 
19.000000 ,    17.937429 
20.000000 ,    17.807692 
21.000000 ,    17.786327 
22.000000 ,    18.107399 
23.000000 ,    17.463441 
24.000000 ,    17.677253 
