Time(s),RSD(%)
4.000000 ,    99.179159 
5.000000 ,    94.876814 
6.000000 ,    89.068767 
7.000000 ,    82.950301 
8.000000 ,    77.268347 
9.000000 ,    72.312387 
10.000000 ,    68.674153 
11.000000 ,    65.223364 
12.000000 ,    61.621645 
13.000000 ,    58.818506 
14.000000 ,    55.828553 
15.000000 ,    53.074308 
16.000000 ,    50.548507 
17.000000 ,    48.167648 
18.000000 ,    45.328774 
19.000000 ,    43.439415 
20.000000 ,    41.426256 
21.000000 ,    39.233626 
22.000000 ,    37.285316 
23.000000 ,    35.889002 
24.000000 ,    34.322259 
