Time(s),RSD(%)
4.000000 ,    94.354681 
5.000000 ,    93.906647 
6.000000 ,    93.529985 
7.000000 ,    92.884861 
8.000000 ,    91.877973 
9.000000 ,    91.538562 
10.000000 ,    91.656564 
11.000000 ,    90.833267 
12.000000 ,    90.441811 
13.000000 ,    90.051738 
14.000000 ,    89.788376 
15.000000 ,    89.236351 
16.000000 ,    89.342251 
17.000000 ,    88.768622 
18.000000 ,    88.323368 
19.000000 ,    88.161941 
20.000000 ,    88.094212 
21.000000 ,    87.619990 
22.000000 ,    87.424081 
23.000000 ,    86.812447 
24.000000 ,    86.434707 
