Time(s),RSD(%)
4.000000 ,    95.202179 
5.000000 ,    94.135283 
6.000000 ,    92.675321 
7.000000 ,    91.173365 
8.000000 ,    90.667982 
9.000000 ,    89.397527 
10.000000 ,    88.828945 
11.000000 ,    88.341675 
12.000000 ,    87.302430 
13.000000 ,    86.638382 
14.000000 ,    86.592784 
15.000000 ,    85.732705 
16.000000 ,    85.370695 
17.000000 ,    84.767543 
18.000000 ,    84.071312 
19.000000 ,    83.673122 
20.000000 ,    83.246705 
21.000000 ,    82.767371 
22.000000 ,    82.199060 
23.000000 ,    81.742243 
24.000000 ,    81.326128 
