Time(s),RSD(%)
4.000000 ,    99.479376 
5.000000 ,    86.590826 
6.000000 ,    74.780722 
7.000000 ,    66.188688 
8.000000 ,    57.891698 
9.000000 ,    51.498349 
10.000000 ,    46.073527 
11.000000 ,    41.654040 
12.000000 ,    37.647337 
13.000000 ,    34.526878 
14.000000 ,    31.323907 
15.000000 ,    29.104110 
16.000000 ,    27.066305 
17.000000 ,    25.075405 
18.000000 ,    24.029202 
19.000000 ,    22.773498 
20.000000 ,    22.030841 
21.000000 ,    21.267133 
22.000000 ,    20.949802 
23.000000 ,    20.036193 
24.000000 ,    19.300778 
