Time(s),RSD(%)
4.000000 ,    93.928646 
5.000000 ,    77.666744 
6.000000 ,    65.062795 
7.000000 ,    49.308602 
8.000000 ,    37.997929 
9.000000 ,    30.993291 
10.000000 ,    26.521772 
11.000000 ,    23.258029 
12.000000 ,    21.323519 
13.000000 ,    19.825575 
14.000000 ,    18.598031 
15.000000 ,    18.539007 
16.000000 ,    18.080275 
17.000000 ,    17.353878 
18.000000 ,    17.321625 
19.000000 ,    17.431896 
20.000000 ,    17.232813 
21.000000 ,    17.034422 
22.000000 ,    16.735930 
23.000000 ,    16.319390 
24.000000 ,    16.873072 
