Time(s),RSD(%)
4.000000 ,    94.433245 
5.000000 ,    76.949983 
6.000000 ,    59.080368 
7.000000 ,    46.905815 
8.000000 ,    38.757381 
9.000000 ,    33.164445 
10.000000 ,    29.559804 
11.000000 ,    26.348931 
12.000000 ,    24.187240 
13.000000 ,    22.515748 
14.000000 ,    21.079640 
15.000000 ,    20.357748 
16.000000 ,    20.161613 
17.000000 ,    19.028486 
18.000000 ,    18.519373 
19.000000 ,    18.868970 
20.000000 ,    18.482887 
21.000000 ,    17.858354 
22.000000 ,    18.323428 
23.000000 ,    17.585373 
24.000000 ,    17.756509 
